JobTitle,CompanyName,Date,CompanyLocations,Skills,Links
Python Developer,FlairsTech -,2 days ago,"Cairo, Egypt ",Python Developer,/jobs/p/ItXgcrG6BIJb-Python-Developer-FlairsTech-Cairo-Egypt?o=1&l=sp&t=sj&a=python |search-v3|hpb
Software QA/Automation Engineer [Python],FlairsTech -,4 days ago,"Cairo, Egypt ",Experienced,/jobs/p/N85XWmtIQKXF-Software-QAAutomation-Engineer-Python-FlairsTech-Cairo-Egypt?o=2&l=sp&t=sj&a=python |search-v3|hpb
Python Developer,Anspire Agency -,5 days ago,"New Cairo, Cairo, Egypt ",  IT/Software Development,/jobs/p/K2CdXSbbloh8-Python-Developer-Anspire-Agency-Cairo-Egypt?o=3&l=sp&t=sj&a=python |search-v3|hpb
Senior Backend (Python) Engineer - Customer Domain,Nana -,5 days ago,"Sheraton, Cairo, Egypt ",  Engineering - Telecom/Technology,/jobs/p/MXDCoyyIgDMW-Senior-Backend-Python-Engineer---Customer-Domain-Nana-Cairo-Egypt?o=4&l=sp&t=sj&a=python |search-v3|hpb
Python Developer - Focused on Cloud Automation,GIG Tech   -,10 days ago,"Cairo, Egypt ",Software QA/Automation Engineer [Python],/jobs/p/bQD0rsJgHYLu-Python-Developer---Focused-on-Cloud-Automation-GIG-Tech-Cairo-Egypt?o=5&l=sp&t=sj&a=python |search-v3|hpb
Senior Quality Automation Engineer [Python],FlairsTech -,11 days ago,"Maadi, Cairo, Egypt ",Experienced,/jobs/p/oEVyeZLP74Kw-Senior-Quality-Automation-Engineer-Python-FlairsTech-Cairo-Egypt?o=6&l=sp&t=sj&a=python |search-v3|hpb
Senior Python Engineer,Brainology -,8 days ago,"Cairo, Egypt ",  IT/Software Development,/jobs/p/uvNTgDcNiG94-Senior-Python-Engineer-Brainology-Cairo-Egypt?o=7&l=sp&t=sj&a=python |search-v3|hpb
Senior Backend Developer (Python),Dafater -,14 days ago,"Nasr City, Cairo, Egypt ",  Quality,/jobs/p/yA0vlccHlpwk-Senior-Backend-Developer-Python-Dafater-Cairo-Egypt?o=8&l=sp&t=sj&a=python |search-v3|hpb
Senior Python Developer,Andela -,20 days ago,"Cairo, Egypt ",  Engineering - Telecom/Technology,/jobs/p/EXLPYpjMjRiD-Senior-Python-Developer-Andela-Cairo-Egypt?o=9&l=sp&t=sj&a=python |search-v3|hpb
Senior Software Engineer - Python,Paymob Solutions -,25 days ago,"Maadi, Cairo, Egypt ",Python Developer,/jobs/p/RsF7SJENqbb2-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=10&l=sp&t=sj&a=python |search-v3|hpb
Software Engineer (Python),Paymob Solutions -,26 days ago,"Maadi, Cairo, Egypt ",Experienced,/jobs/p/bxNaLimAkmF8-Software-Engineer-Python-Paymob-Solutions-Cairo-Egypt?o=11&l=sp&t=sj&a=python |search-v3|hpb
Backend Software Engineer [Python],FlairsTech -,25 days ago,"Cairo, Egypt ",  IT/Software Development,/jobs/p/DPPsMij6kcwY-Backend-Software-Engineer-Python-FlairsTech-Cairo-Egypt?o=12&l=sp&t=sj&a=python |search-v3|hpb
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,1 month ago,"Alexandria, Egypt ",  Engineering - Telecom/Technology,/jobs/p/BQMnq7CzEgv1-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=13&l=sp&t=sj&a=python |search-v3|hpb
Senior Python Backend Developer,CROCOSOFT -,1 month ago,"New Cairo, Cairo, Egypt ",Senior Backend (Python) Engineer - Customer Domain,/jobs/p/zT27Yp8xcTdV-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=14&l=sp&t=sj&a=python |search-v3|hpb
Python Django Developer,Support Legal -,1 month ago,"Dubai, United Arab Emirates ",Experienced,/jobs/p/MuFjKDO211Wz-Python-Django-Developer-Support-Legal-Dubai-United-Arab-Emirates?o=15&l=sp&t=sj&a=python |search-v3|hpb
Java/Python Developer,Nabd -,3 days ago,"New Cairo, Cairo, Egypt ",Java/Python Developer,/jobs/p/lXUto1XGcCgE-JavaPython-Developer-Nabd-Cairo-Egypt?o=16&l=sp&t=sj&a=python |search-v3|hpb
Senior Software Engineer - Python,Unifonic -,3 days ago,"Cairo, Egypt ",Experienced,/jobs/p/Wp5vF3QM9wPh-Senior-Software-Engineer---Python-Unifonic-Cairo-Egypt?o=17&l=sp&t=sj&a=python |search-v3|hpb
Senior Python Linux Engineer,El-Sewedy Electrometer -,4 days ago,"6th of October, Giza, Egypt ",  IT/Software Development,/jobs/p/UKNVnOsS4BfJ-Senior-Python-Linux-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=18&l=sp&t=sj&a=python |search-v3|hpb
Experienced Python/Django Developer,Infoblink -,1 month ago,"Dokki, Giza, Egypt ",  Engineering - Telecom/Technology,/jobs/p/EVPLF753qKO9-Experienced-PythonDjango-Developer-Infoblink-Giza-Egypt?o=19&l=sp&t=sj&a=python |search-v3|hpb
Python Tech Lead,Eastern Enterprise -,1 month ago,"Cairo, Egypt ",Senior Software Engineer - Python,/jobs/p/T2ShpO8q8U6v-Python-Tech-Lead-Eastern-Enterprise-Cairo-Egypt?o=20&l=sp&t=sj&a=python |search-v3|hpb
Python Backend Developer (Remote-First),Estafsar -,1 month ago,"Downtown, Cairo, Egypt ",Experienced,/jobs/p/i7fFHv9T5dz2-Python-Backend-Developer-Remote-First-Estafsar-Cairo-Egypt?o=21&l=sp&t=sj&a=python |search-v3|hpb
Python Back End Developer,TA telecom -,2 months ago,"Cairo, Egypt ",  IT/Software Development,/jobs/p/HWFKGycu1asv-Python-Back-End-Developer-TA-telecom-Cairo-Egypt?o=22&l=sp&t=sj&a=python |search-v3|hpb
Python Developer,Trufla -,2 months ago,"Heliopolis, Cairo, Egypt ",  Engineering - Telecom/Technology,/jobs/p/9dZvnXGAIqxa-Python-Developer-Trufla-Cairo-Egypt?o=23&l=sp&t=sj&a=python |search-v3|hpb
Junior Backend Developer,SSC Egypt -,2 months ago,"Cairo, Egypt ",Senior Python Linux Engineer,/jobs/p/mpSd0slNGv3M-Junior-Backend-Developer-SSC-Egypt-Cairo-Egypt?o=24&l=sp&t=sj&a=python |search-v3|hpb
Senior Backend Developer,SSC Egypt -,2 months ago,"Cairo, Egypt ",Experienced,/jobs/p/4HSZz47mNqFU-Senior-Backend-Developer-SSC-Egypt-Cairo-Egypt?o=25&l=sp&t=sj&a=python |search-v3|hpb
Senior DevOps Engineer,SSC Egypt -,2 months ago,"New Cairo, Cairo, Egypt ",  IT/Software Development,/jobs/p/kGG7aaVQMZZC-Senior-DevOps-Engineer-SSC-Egypt-Cairo-Egypt?o=26&l=sp&t=sj&a=python |search-v3|hpb
Robotics & Steam Instructor (for Kids),Edu-Zone -,11 days ago,"Cairo, Egypt ",  Engineering - Telecom/Technology,/jobs/p/DYXOIa3JBCsT-Robotics-Steam-Instructor-for-Kids-Edu-Zone-Cairo-Egypt?o=27&l=sp&t=sj&a=python |search-v3|hpb
Senior Technical Lead,Squadio -,11 days ago,"Alexandria, Egypt ",Experienced Python/Django Developer,/jobs/p/AhhiMn7DMVox-Senior-Technical-Lead-Squadio-Alexandria-Egypt?o=28&l=sp&t=sj&a=python |search-v3|hpb
Back-End Developer,Reno Systems -,10 days ago,"Maadi, Cairo, Egypt ",Experienced,/jobs/p/msP51Z7G4yNw-Back-End-Developer-Reno-Systems-Cairo-Egypt?o=29&l=sp&t=sj&a=python |search-v3|hpb
Senior C++ Software Developer,Luxoft (A DXC Technology Company) -,11 days ago,"Cairo, Egypt ",  IT/Software Development,/jobs/p/Xa06oSsc5qnT-Senior-C-Software-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=30&l=sp&t=sj&a=python |search-v3|hpb
DevOps Team Lead,Trufla -,4 days ago,"Heliopolis, Cairo, Egypt ",DevOps Team Lead,/jobs/p/bjPMpXuN9kiF-DevOps-Team-Lead-Trufla-Cairo-Egypt?o=31&l=sp&t=sj&a=python |search-v3|hpb
Front End Developer - Intern,Dottopia -,5 days ago,"Agouza, Giza, Egypt ",Manager,/jobs/p/a1qWiKPpWqxg-Front-End-Developer---Intern-Dottopia-Giza-Egypt?o=32&l=sp&t=sj&a=python |search-v3|hpb
Senior Backend Engineer,LxT -,7 days ago,"Mohandessin, Giza, Egypt ",  IT/Software Development,/jobs/p/mHG1xO6JFYW7-Senior-Backend-Engineer-LxT-Giza-Egypt?o=33&l=sp&t=sj&a=python |search-v3|hpb
Senior Devops Engineer,Expleo -,6 days ago,"Maadi, Cairo, Egypt ",  Engineering - Telecom/Technology,/jobs/p/FMu0khwAsMiI-Senior-Devops-Engineer-Expleo-Cairo-Egypt?o=34&l=sp&t=sj&a=python |search-v3|hpb
Senior Big Data Engineers,BBI-Consultancy -,3 days ago,"Abu Dhabi, United Arab Emirates ",Front End Developer - Intern,/jobs/p/5EBOFMSD1Bii-Senior-Big-Data-Engineers-BBI-Consultancy-Abu-Dhabi-United-Arab-Emirates?o=35&l=sp&t=sj&a=python |search-v3|hpb
Software Engineer,Aseel -,3 days ago,"Cairo, Egypt ",Entry Level,/jobs/p/MLaP8mqcf3Sb-Software-Engineer-Aseel-Cairo-Egypt?o=36&l=sp&t=sj&a=python |search-v3|hpb
Full Stack Technical Lead,RDI -,9 days ago,"Dokki, Giza, Egypt ",  IT/Software Development,/jobs/p/ln6Clohx8m14-Full-Stack-Technical-Lead-RDI-Giza-Egypt?o=37&l=sp&t=sj&a=python |search-v3|hpb
NLP Engineer,Tahaluf Al Emarat Technical Solutions -,9 days ago,"Cairo, Egypt ",  Engineering - Telecom/Technology,/jobs/p/EfZo2CfXaON8-NLP-Engineer-Tahaluf-Al-Emarat-Technical-Solutions-Cairo-Egypt?o=38&l=sp&t=sj&a=python |search-v3|hpb
Algorithm Engineer,Tahaluf Al Emarat Technical Solutions -,10 days ago,"Cairo, Egypt ",Senior Backend Engineer,/jobs/p/DjexrRYn6C0W-Algorithm-Engineer-Tahaluf-Al-Emarat-Technical-Solutions-Cairo-Egypt?o=39&l=sp&t=sj&a=python |search-v3|hpb
Data Scientist,Fixed Solutions -,11 days ago,"Sheraton, Cairo, Egypt ",Experienced,/jobs/p/rkQ7JHkEd4ke-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=40&l=sp&t=sj&a=python |search-v3|hpb
Senior Devops Engineer,Trufla -,11 days ago,"Heliopolis, Cairo, Egypt ",  IT/Software Development,/jobs/p/biaLPnEUTxtW-Senior-Devops-Engineer-Trufla-Cairo-Egypt?o=41&l=sp&t=sj&a=python |search-v3|hpb
Desktop Applications Junior Developer,SIMS OFFSHORE -,11 days ago,"6th of October, Giza, Egypt ",  Engineering - Telecom/Technology,/jobs/p/PPdbWSpBD8po-Desktop-Applications-Junior-Developer-SIMS-OFFSHORE-Giza-Egypt?o=42&l=sp&t=sj&a=python |search-v3|hpb
NodeJS Backend Developer,Genwin -,12 days ago,"Obour City, Cairo, Egypt ",Senior Devops Engineer,/jobs/p/H7vpe4dKj9JS-NodeJS-Backend-Developer-Genwin-Cairo-Egypt?o=43&l=sp&t=sj&a=python |search-v3|hpb
Senior Data Scientist (m/f/d) - Remote Friendly,Sellics -,11 days ago,"Berlin, Germany ",Experienced,/jobs/p/nQ3y4OZh8bfl-Senior-Data-Scientist-mfd---Remote-Friendly-Sellics-Berlin-Germany?o=44&l=sp&t=sj&a=python |search-v3|hpb
Junior Backend Engineer,LxT -,12 days ago,"Mohandessin, Giza, Egypt ",  IT/Software Development,/jobs/p/G7dIVlXGgyzB-Junior-Backend-Engineer-LxT-Giza-Egypt?o=45&l=sp&t=sj&a=python |search-v3|hpb
Cloud Solution Engineer - R&D,Link Datacenter -,4 days ago,"Giza, Egypt ",Cloud Solution Engineer - R&D,/jobs/p/idPsvxpDPaB2-Cloud-Solution-Engineer---RD-Link-Datacenter-Giza-Egypt?o=46&l=sp&t=sj&a=python |search-v3|hpb
Devops Engineer,Beyond Solution -,4 days ago,"Maadi, Cairo, Egypt ",Experienced,/jobs/p/TK74Y0tMZizR-Devops-Engineer-Beyond-Solution-Cairo-Egypt?o=47&l=sp&t=sj&a=python |search-v3|hpb
Data Scientist,Maxab -,6 days ago,"Maadi, Cairo, Egypt ",  IT/Software Development,/jobs/p/fRC3zWgXtqMp-Data-Scientist-Maxab-Cairo-Egypt?o=48&l=sp&t=sj&a=python |search-v3|hpb
IT System Administrator,Sykes Enterprises -,12 days ago,"Cairo, Egypt ",  Engineering - Telecom/Technology,/jobs/p/L77WvHUyZR5s-IT-System-Administrator-Sykes-Enterprises-Cairo-Egypt?o=49&l=sp&t=sj&a=python |search-v3|hpb
Senior Linux System Engineer,Link Datacenter -,12 days ago,"Dokki, Giza, Egypt ",Devops Engineer,/jobs/p/jbhB7hgCFxI6-Senior-Linux-System-Engineer-Link-Datacenter-Giza-Egypt?o=50&l=sp&t=sj&a=python |search-v3|hpb
Ruby on Rails Developer (Back End),Tays -,12 days ago,"New Cairo, Cairo, Egypt ",Entry Level,/jobs/p/i31ICMCBI5yU-Ruby-on-Rails-Developer-Back-End-Tays-Cairo-Egypt?o=51&l=sp&t=sj&a=python |search-v3|hpb
chat-bot Developer - India,Hakaya -,17 days ago,"New Delhi, India ",  IT/Software Development,/jobs/p/ks5MVpVZAr5D-chat-bot-Developer---India-Hakaya-New-Delhi-India?o=52&l=sp&t=sj&a=python |search-v3|hpb
Data Scientist,Paymob Solutions -,13 days ago,"Maadi, Cairo, Egypt ",  Engineering - Telecom/Technology,/jobs/p/0jGn5OM1ogU7-Data-Scientist-Paymob-Solutions-Cairo-Egypt?o=53&l=sp&t=sj&a=python |search-v3|hpb
"Full Stack Developer (Vue Js, Python / Java)",SSC Egypt -,2 months ago,"Cairo, Egypt ",Data Scientist,/jobs/p/n7pYT0JpWUru-Full-Stack-Developer-Vue-Js-Python-Java-SSC-Egypt-Cairo-Egypt?o=54&l=sp&t=sj&a=python |search-v3|hpb
